Packet;Channel 1;Channel 2;Channel 3;Channel 4;Channel 5;Channel 6
787162;423642077;415226978;-9244206;865826;22869917;65865049
787163;-361114807;-357793514;-9258833;866376;22886340;41702071
787164;57550144;58621794;-9237064;864311;22875054;61508590
787165;238730730;231323182;-9260544;856234;22871099;46154794
787166;-441133546;-434057173;-9247850;864315;22879419;56950528
787167;357780309;352447586;-9257740;834560;22866854;50769817
787168;-114031180;-115970039;-9250299;850359;22880652;52277282
787169;-232842803;-227249988;-9227886;862306;22885115;55461469
787170;410321570;401663603;-9260445;831022;22865629;47614331
787171;-397906018;-393558340;-9251187;853081;22876723;60094216
787172;124016401;123861294;-9215586;872068;22884420;43091234
787173;179758963;173090777;-9255803;836753;22861772;64543270
787174;-422507246;-415293307;-9235925;861405;22871185;38809988
787175;390001169;383708825;-9238412;853273;22874210;68665399
787176;-178945344;-179644701;-9248605;849646;22871752;34835392
787177;-171398182;-166634478;-9225147;868471;22888627;72445141
787178;386650632;377962372;-9268373;835383;22858304;31305297
787179;-425313710;-420074193;-9233489;878621;22891387;75754922
787180;187115562;185734570;-9230566;852441;22866496;28296870
787181;116109597;110341593;-9267601;840226;22858841;78455662
787182;-393979511;-386822446;-9239825;861845;22859264;25887261
787183;412385105;405273053;-9220893;864034;22880584;80521292
787184;-239826073;-239307609;-9258107;851618;22861687;24124535
787185;-106014186;-102251434;-9226713;862323;22843319;81953228
787186;353373824;344815057;-9248507;866406;22857267;23031500
787187;-442661802;-436681646;-9250986;861213;22845380;82670464
787188;245454297;242826193;-9222293;862421;22854562;22687620
787189;49418756;44672226;-9262869;851712;22847351;82651904
787190;-356111816;-349197162;-9228974;868283;22868377;23076014
787191;424542545;416755959;-9240482;855637;22845115;81892770
787192;-295141529;-293420804;-9254592;843814;22840601;24205563
787193;-38429137;-35709713;-9204232;881344;22884117;80449792
787194;311178764;302965307;-9267558;831475;22845273;25975368
787195;-449495918;-442932595;-9226235;868518;22870272;78324040
787196;297509009;293694741;-9221491;863543;22870528;28429486
787197;-18740970;-22369207;-9249591;869098;22860761;75583091
787198;-309869175;-303377177;-9240204;842530;22865843;31484868
787199;426054920;417782075;-9243485;863061;22871449;72263086
787200;-343635950;-340750216;-9270237;854020;22854340;35026065
787201;29898043;31453090;-9211916;877431;22858082;68477576
787202;261130466;253431069;-9223735;898858;22895496;39013316
787203;-445685802;-438726638;-9265390;851874;22856157;64338577
787204;342062216;337143428;-9225979;879624;22878993;43309213
787205;-86736499;-89172283;-9251072;848371;22850414;59878331
787206;-256429516;-250545557;-9226739;859379;22861388;47873390
787207;416998694;408413849;-9220586;872793;22868987;55240435
787208;-384005922;-380068078;-9239607;885521;22865173;52557768
787209;97225352;97575756;-9243831;855560;22837273;50572573
787210;204419276;197444761;-9240631;877593;22858235;57199884
787211;-431327803;-424131089;-9234116;866756;22850816;45947178
787212;378021572;372121250;-9253849;841518;22851912;61751035
787213;-152885145;-154107656;-9241425;882269;22853056;41490965
787214;-196962999;-191861777;-9240725;842713;22841860;66109085
787215;397494792;388788731;-9231974;872930;22850363;37276300
787216;-415344153;-410449821;-9255731;845056;22830754;70106807
787217;161889117;161004270;-9217399;872375;22862088;33435643
787218;142512913;136367594;-9254331;846877;22857668;73711330
787219;-406779776;-399564893;-9245806;844138;22823095;30131468
787220;404476356;397691460;-9213303;887722;22886464;76786453
